Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
114,2010,NBA,1,6,GSW,Ekpe Udoh,23.041,C-F,us,Baylor University,2011,2018,333,16.1,3.7,3,0.7,0.5,1.2,0.437,0.439,0,0.724,8.9,0.079
115,2010,NBA,1,26,OKC,Quincy Pondexter,22.111,G-F,us,University of Washington,2011,2018,302,17.3,5,2,0.8,0.4,0.2,0.419,0.469,0.357,0.738,8.9,0.082
116,2012,NBA,2,37,TOR,Quincy Acy,21.271,F,us,Baylor University,2013,2018,327,16.1,5,3.5,0.6,0.4,0.4,0.447,0.505,0.356,0.761,8.8,0.08
117,2013,NBA,1,23,IND,Solomon Hill,22.107,F,us,University of Arizona,2014,2018,261,23.1,6.2,3.3,1.6,0.7,0.2,0.396,0.445,0.331,0.816,8.7,0.069
118,2014,NBA,2,38,DET,Spencer Dinwiddie,21.086,G,us,University of Colorado,2015,2018,185,23,8.9,2.6,4.5,0.7,0.3,0.387,0.446,0.315,0.798,8.7,0.098
119,2014,NBA,2,46,WAS,Jordan Clarkson,22.024,G,us,University of Missouri,2015,2018,301,27.6,14.1,3.2,2.8,0.9,0.1,0.443,0.488,0.339,0.807,8.7,0.05
120,2014,NBA,1,16,CHI,Jusuf Nurkic,19.312,C,ba,,2015,2018,238,21.6,10.4,7.3,1.5,0.8,1.2,0.485,0.488,0,0.612,8.6,0.081
121,2013,NBA,1,14,UTA,Shabazz Muhammad,20.231,F-G,us,"University of California, Los Angeles",2014,2018,278,17.2,9,2.8,0.5,0.3,0.1,0.473,0.51,0.319,0.751,8.5,0.085
122,2013,NBA,1,9,MIN,Trey Burke,20.232,G,us,University of Michigan,2014,2018,303,24.4,10.9,2.1,3.8,0.6,0.1,0.404,0.441,0.339,0.791,8.3,0.054
123,2010,NBA,2,55,UTA,Jeremy Evans,22.249,F,us,Western Kentucky University,2011,2018,250,10.5,3.5,2.6,0.4,0.4,0.5,0.569,0.583,0.231,0.687,8.2,0.15
124,2014,NBA,1,3,PHI,Joel Embiid,20.107,C,cm,University of Kansas,2017,2018,94,28.7,22,9.9,2.8,0.7,2,0.478,0.518,0.327,0.774,8.1,0.144
125,2015,NBA,2,37,PHI,Richaun Holmes,21.258,F-C,us,Bowling Green State University,2016,2018,156,16.9,7.4,4.2,1,0.5,0.8,0.547,0.609,0.257,0.687,8.1,0.147
126,2012,NBA,1,10,NOH,Austin Rivers,19.336,G,us,Duke University,2013,2018,408,24.3,9.4,2,2.4,0.7,0.2,0.419,0.452,0.355,0.649,7.9,0.038
127,2015,NBA,1,23,POR,Rondae Hollis-Jefferson,20.178,F,us,University of Arizona,2016,2018,175,24.5,10.2,6.1,2.1,1.1,0.6,0.456,0.479,0.237,0.767,7.9,0.088
128,2014,NBA,1,11,DEN,Doug McDermott,22.18,F,us,Creighton University,2015,2018,264,20.7,7.9,2.3,0.8,0.2,0.1,0.452,0.485,0.403,0.822,7.7,0.068
129,2014,NBA,1,12,ORL,Dario Saric,20.084,F,hr,,2017,2018,159,27.9,13.7,6.5,2.4,0.7,0.3,0.431,0.484,0.355,0.82,7.6,0.082
130,2012,NBA,1,4,CLE,Dion Waiters,20.206,G,us,Syracuse University,2013,2018,365,28.7,13.3,2.7,2.8,1,0.3,0.412,0.441,0.341,0.701,7.5,0.034
131,2015,NBA,1,22,CHI,Bobby Portis,20.14,F,us,University of Arkansas,2016,2018,199,18.8,9.2,5.7,1.1,0.5,0.3,0.463,0.498,0.345,0.737,7.3,0.094
132,2010,NBA,1,16,MIN,Luke Babbitt,21.009,F,us,"University of Nevada, Reno",2011,2018,381,14,4.8,2.2,0.6,0.2,0.2,0.408,0.417,0.402,0.747,7.2,0.065
133,2011,NBA,1,20,MIN,Donatas Motiejunas,20.281,F-C,lt,,2013,2017,248,18.4,7.4,3.8,1.1,0.5,0.3,0.469,0.529,0.3,0.6,7.2,0.076
134,2015,NBA,1,12,UTA,Trey Lyles,19.237,F,ca,University of Kentucky,2016,2018,224,17.5,7.4,3.9,1,0.4,0.3,0.435,0.483,0.358,0.703,6.9,0.084
135,2013,NBA,2,39,POR,Jeff Withey,23.118,C,us,University of Kansas,2014,2018,206,10.1,3.2,2.5,0.3,0.3,0.8,0.525,0.537,0.143,0.716,6.8,0.157
136,2013,NBA,1,25,LAC,Reggie Bullock,22.109,G-F,us,University of North Carolina,2014,2018,209,16.1,5.5,1.9,0.8,0.4,0.1,0.448,0.501,0.403,0.798,6.7,0.096
137,2015,NBA,1,16,BOS,Terry Rozier,21.105,G,us,University of Louisville,2016,2018,193,18.9,7.2,3.5,2.1,0.7,0.2,0.377,0.395,0.355,0.773,6.7,0.088
138,2015,NBA,1,19,WAS,Jerian Grant,22.264,G,us,University of Notre Dame,2016,2018,213,18.7,6.6,2,3,0.8,0.1,0.411,0.464,0.313,0.784,6.6,0.08
139,2010,NBA,1,27,NJN,Jordan Crawford,21.249,G,us,Xavier University,2011,2018,281,24.4,12.2,2.5,3.1,0.7,0.1,0.411,0.458,0.317,0.826,6.3,0.044
140,2015,NBA,1,13,PHO,Devin Booker,18.242,G,us,University of Kentucky,2016,2018,208,32.2,19.8,3.3,3.5,0.8,0.3,0.426,0.455,0.365,0.849,6.3,0.045
141,2010,NBA,2,35,WAS,Nemanja Bjelica,22.051,F,rs,,2016,2018,192,18.9,6.1,3.8,1.3,0.6,0.3,0.449,0.528,0.371,0.752,6.2,0.081
142,2015,NBA,1,15,ATL,Kelly Oubre,19.203,F,us,University of Kansas,2016,2018,223,20.2,7.6,3.4,0.7,0.7,0.3,0.412,0.482,0.322,0.78,6.2,0.066
143,2015,NBA,1,20,TOR,Delon Wright,23.065,G,us,University of Utah,2016,2018,123,17.1,6.6,2.3,2.3,0.9,0.4,0.455,0.498,0.362,0.797,6.2,0.142
144,2013,NBA,1,16,BOS,Lucas Nogueira,20.341,C,br,,2015,2018,141,12.4,3.2,2.8,0.5,0.6,1,0.632,0.681,0.265,0.64,6,0.165
145,2010,NBA,1,17,CHI,Kevin Seraphin,20.204,F,gf,,2011,2017,423,15.2,5.9,3.5,0.6,0.2,0.7,0.489,0.491,0,0.715,5.9,0.044
146,2012,NBA,1,30,GSW,Festus Ezeli,22.256,C,ng,Vanderbilt University,2013,2016,170,14.1,4.2,4.3,0.4,0.3,1,0.513,0.513,,0.557,5.9,0.119
147,2012,NBA,2,32,WAS,Tomas Satoransky,20.247,G,cz,,2017,2018,130,18.2,5.2,2.4,2.9,0.6,0.2,0.493,0.524,0.406,0.76,5.6,0.113
148,2015,NBA,1,24,CLE,Tyus Jones,19.05,G,us,Duke University,2016,2018,179,15.7,4.4,1.4,2.8,1,0.1,0.423,0.473,0.341,0.81,5.5,0.093
149,2011,NBA,2,42,IND,Davis Bertans,18.227,F,lv,,2017,2018,144,13.2,5.3,1.7,0.8,0.3,0.4,0.44,0.577,0.384,0.819,5.3,0.135
150,2013,NBA,2,55,MEM,Joffrey Lauvergne,21.276,C-F,fr,,2015,2018,208,13.6,5.6,3.8,0.9,0.3,0.2,0.479,0.52,0.285,0.719,5.2,0.089
151,2014,NBA,1,13,MIN,Zach LaVine,19.113,G,us,"University of California, Los Angeles",2015,2018,230,28.7,14,3,3.2,0.8,0.2,0.437,0.47,0.373,0.82,5.2,0.038
152,2015,NBA,2,35,PHI,Willy Hernangomez,21.034,C,es,,2017,2018,120,15.2,6.9,5.7,1.1,0.5,0.4,0.536,0.545,0.333,0.698,5.2,0.137
153,2014,NBA,1,9,CHH,Noah Vonleh,18.311,F,us,Indiana University,2015,2018,231,15.5,4.1,4.7,0.4,0.3,0.3,0.444,0.474,0.297,0.664,5.1,0.068
154,2015,NBA,1,10,MIA,Justise Winslow,19.095,F,us,Duke University,2016,2018,164,27.7,7.5,5.3,2,0.9,0.4,0.41,0.44,0.314,0.653,5,0.053
155,2015,NBA,2,46,MIL,Norman Powell,22.036,G,us,"University of California, Los Angeles",2016,2018,195,16.2,6.6,2,1.1,0.6,0.2,0.427,0.498,0.324,0.801,5,0.075
156,2014,NBA,2,33,CLE,Joe Harris,22.299,G,us,University of Virginia,2015,2018,186,19.5,7.6,2.4,1.1,0.4,0.2,0.459,0.548,0.4,0.774,4.9,0.065
157,2012,NBA,1,5,SAC,Thomas Robinson,21.109,F,us,University of Kansas,2013,2017,313,13.4,4.9,4.8,0.6,0.5,0.4,0.47,0.472,0,0.505,4.6,0.053
158,2013,NBA,1,7,SAC,Ben McLemore,20.141,G,us,University of Kansas,2014,2018,349,24.5,9.1,2.6,1.2,0.7,0.2,0.417,0.468,0.351,0.785,4.5,0.025
159,2013,NBA,1,11,PHI,Michael Carter-Williams,21.266,G,us,Syracuse University,2014,2018,287,27.5,11.5,4.7,4.9,1.4,0.6,0.402,0.434,0.25,0.707,4.4,0.027
160,2013,NBA,1,18,ATL,Shane Larkin,20.273,G,us,University of Miami,2014,2018,256,19.1,5.5,1.9,2.9,0.9,0.1,0.422,0.454,0.336,0.777,4.4,0.044
161,2014,NBA,1,24,CHH,Shabazz Napier,22.353,G,us,University of Connecticut,2015,2018,233,15.7,5.7,1.7,1.9,0.8,0.1,0.395,0.422,0.363,0.802,4.4,0.058
162,2013,NBA,2,32,OKC,Alex Abrines,19.335,G-F,es,,2017,2018,143,15.3,5.3,1.4,0.5,0.5,0.1,0.394,0.433,0.38,0.874,4.3,0.095
163,2015,NBA,1,18,HOU,Sam Dekker,21.055,F,us,University of Wisconsin,2016,2018,153,15.1,5.3,3,0.7,0.4,0.2,0.481,0.592,0.283,0.605,4.3,0.09
164,2015,NBA,1,21,DAL,Justin Anderson,21.223,G,us,University of Virginia,2016,2018,168,14.3,5.8,2.8,0.7,0.4,0.3,0.422,0.528,0.3,0.784,4.3,0.086
165,2015,NBA,1,30,GSW,Kevon Looney,19.144,F-C,us,"University of California, Los Angeles",2016,2018,124,11.1,3.3,2.8,0.6,0.4,0.6,0.56,0.577,0.25,0.568,4.3,0.149
166,2012,NBA,2,46,NOH,Darius Miller,22.105,F,us,University of Kentucky,2013,2018,184,18.5,5.2,1.6,1.1,0.4,0.2,0.435,0.507,0.394,0.856,4.2,0.06
