Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
223,2014,NBA,2,35,UTA,Jarnell Stokes,20.175,F-C,us,University of Tennessee,2015,2017,28,5.4,2.4,1.4,0.3,0.3,0.2,0.581,0.581,,0.531,0.6,0.202
224,2015,NBA,1,29,BRK,Chris McCullough,20.145,F,us,Syracuse University,2016,2018,59,9,3.3,1.9,0.3,0.5,0.3,0.426,0.47,0.306,0.548,0.6,0.054
225,2015,NBA,2,48,OKC,Dakari Johnson,19.281,C,us,University of Kentucky,2018,2018,31,5.2,1.8,1.1,0.3,0.2,0.3,0.564,0.564,,0.55,0.6,0.178
226,2010,NBA,2,32,MIA,Dexter Pittman,22.119,C,us,University of Texas at Austin,2011,2014,50,6.9,2.3,1.8,0.2,0.2,0.2,0.45,0.45,,0.545,0.5,0.068
227,2010,NBA,2,43,LAL,Devin Ebanks,20.244,F,us,West Virginia University,2011,2013,63,11.3,3.6,1.9,0.4,0.3,0.2,0.385,0.418,0.222,0.722,0.5,0.035
228,2011,NBA,2,44,GSW,Charles Jenkins,22.12,G,us,Hofstra University,2012,2013,110,12.1,3.7,0.9,1.9,0.4,0.1,0.434,0.449,0.182,0.754,0.5,0.017
229,2011,NBA,2,52,DET,Vernon Macklin,24.282,F,us,University of Florida,2012,2012,23,5.9,2,1.5,0.2,0.2,0.2,0.543,0.543,,0.571,0.5,0.161
230,2013,NBA,1,1,CLE,Anthony Bennett,20.11,F,ca,"University of Nevada, Las Vegas",2014,2017,151,12.6,4.4,3.1,0.5,0.4,0.2,0.392,0.427,0.261,0.67,0.5,0.013
231,2014,NBA,2,58,SAS,Jordan McRae,23.096,G,us,University of Tennessee,2016,2017,59,9.8,4.4,1,0.7,0.2,0.1,0.404,0.413,0.384,0.774,0.5,0.043
232,2015,NBA,2,33,BOS,Jordan Mickey,20.356,F,us,Louisiana State University,2016,2018,64,7.5,2.4,2,0.3,0.1,0.4,0.449,0.496,0.118,0.605,0.5,0.05
233,2015,NBA,2,36,MIN,Rakeem Christmas,23.212,F,us,Syracuse University,2016,2017,30,7.5,2.1,1.9,0.1,0.1,0.2,0.467,0.467,,0.724,0.5,0.105
234,2011,NBA,2,43,CHI,Malcolm Lee,21.037,G,us,"University of California, Los Angeles",2012,2015,36,14.8,3.9,1.8,1.4,0.6,0.3,0.382,0.412,0.294,0.703,0.4,0.04
235,2014,NBA,1,22,MEM,Jordan Adams,19.358,G,us,"University of California, Los Angeles",2015,2016,32,8.2,3.2,0.9,0.6,0.6,0.2,0.402,0.409,0.385,0.607,0.4,0.07
236,2015,NBA,2,43,IND,Joseph Young,23.003,G,us,University of Oregon,2016,2018,127,8.5,3.4,1,0.9,0.3,0,0.393,0.438,0.296,0.768,0.4,0.016
237,2010,NBA,1,25,MEM,Dominique Jones,21.257,G,us,University of South Florida,2011,2013,80,9.3,3.1,1.4,1.8,0.4,0.1,0.366,0.393,0.095,0.729,0.3,0.017
238,2010,NBA,2,58,LAL,Derrick Caracter,22.056,F,us,University of Texas at El Paso,2011,2011,41,5.2,2,1,0.2,0.1,0.2,0.485,0.485,,0.739,0.3,0.057
239,2011,NBA,2,39,CHA,Jeremy Tyler,20.007,C,us,,2012,2014,104,9.9,3.6,2.6,0.2,0.2,0.4,0.45,0.451,0,0.557,0.3,0.014
240,2012,NBA,2,48,NYK,Kostas Papanikolaou,21.338,F,gr,,2015,2016,69,15.8,3.6,2.3,1.5,0.6,0.3,0.354,0.416,0.297,0.688,0.3,0.015
241,2015,NBA,1,28,BOS,R.J. Hunter,21.249,G,us,Georgia State University,2016,2018,44,8.4,2.6,1,0.4,0.4,0.1,0.361,0.512,0.282,0.889,0.3,0.039
242,2015,NBA,2,38,DET,Darrun Hilliard,22.078,G,us,Villanova University,2016,2018,91,9.4,3.2,0.9,0.8,0.2,0,0.377,0.42,0.304,0.747,0.3,0.016
243,2010,NBA,1,30,WAS,Lazar Hayward,23.216,F,us,Marquette University,2011,2013,72,8.2,2.9,1.3,0.5,0.2,0.1,0.347,0.395,0.269,0.767,0.2,0.02
244,2010,NBA,2,54,LAC,Willie Warren,20.25,G,us,University of Oklahoma,2011,2011,19,7.1,1.9,0.6,1.4,0.3,0,0.371,0.4,0.333,0.75,0.2,0.065
245,2011,NBA,1,27,NJN,JaJuan Johnson,22.14,F,us,Purdue University,2012,2012,36,8.3,3.2,1.6,0.2,0.1,0.4,0.446,0.446,,0.667,0.2,0.032
246,2012,NBA,1,24,CLE,Jared Cunningham,21.043,G,us,Oregon State University,2013,2016,84,7.2,2.3,0.7,0.5,0.3,0,0.347,0.369,0.306,0.674,0.2,0.017
247,2012,NBA,2,44,DET,Kim English,23.283,G,us,University of Missouri,2013,2013,41,9.9,2.9,0.9,0.6,0.4,0.1,0.375,0.452,0.28,0.724,0.2,0.021
248,2012,NBA,2,52,GSW,Ognjen Kuzmic,22.049,C,ba,,2014,2015,37,4.4,0.9,1,0.2,0.1,0.1,0.52,0.52,,0.6,0.2,0.061
249,2013,NBA,2,37,DET,Tony Mitchell,21.086,F,us,University of North Texas,2014,2014,21,3.8,1,1.2,0.1,0.3,0.1,0.417,0.364,1,0.579,0.2,0.151
250,2014,NBA,2,36,MIL,Johnny O'Bryant III,21.03,F-C,us,Louisiana State University,2015,2018,147,11.5,3.5,2.4,0.5,0.2,0.1,0.402,0.406,0.36,0.663,0.2,0.006
251,2014,NBA,2,43,ATL,Walter Tavares,22.101,C,cv,,2016,2017,13,7.8,2.5,2.5,0.3,0.1,0.9,0.625,0.625,,0.273,0.2,0.118
252,2010,NBA,2,57,IND,Ryan Reid,23.243,F,us,Florida State University,2012,2012,5,3.4,1.6,0.4,0,0,0,0.8,0.8,,,0.1,0.142
253,2011,NBA,2,47,LAC,Travis Leslie,21.091,G,us,University of Georgia,2012,2012,10,4.5,1.4,0.9,0.5,0.2,0.2,0.357,0.357,,0.444,0.1,0.06
254,2012,NBA,2,42,MIL,Doron Lamb,20.24,G,us,University of Kentucky,2013,2014,100,12.7,3.5,1,0.8,0.2,0,0.381,0.372,0.394,0.7,0.1,0.005
255,2013,NBA,2,46,UTA,Erick Green,22.055,G,us,Virginia Polytechnic Institute and State University,2015,2016,52,8.7,3.1,0.7,0.8,0.3,0,0.377,0.415,0.288,0.857,0.1,0.011
256,2014,NBA,1,28,LAC,C.J. Wilcox,23.184,G,us,University of Washington,2015,2017,66,5.7,2,0.5,0.5,0.2,0.1,0.37,0.397,0.333,0.813,0.1,0.007
257,2014,NBA,2,48,MIL,Lamar Patterson,22.324,G-F,us,University of Pittsburgh,2016,2017,40,10.9,2.3,1.4,1.1,0.3,0.1,0.326,0.45,0.236,0.72,0.1,0.006
258,2014,NBA,2,55,MIA,Semaj Christon,21.242,G,us,Xavier University,2017,2017,64,15.2,2.9,1.4,2,0.4,0.1,0.345,0.406,0.19,0.548,0.1,0.006
259,2010,NBA,1,24,ATL,Damion James,22.266,G-F,us,University of Texas at Austin,2011,2014,39,16,3.8,3.4,0.7,0.6,0.5,0.415,0.433,0,0.667,0,-0.001
260,2010,NBA,2,46,PHO,Gani Lawal,21.234,F,us,Georgia Institute of Technology,2011,2011,1,2,0,0,0,0,0,,,,,0,-0.009
261,2010,NBA,2,50,DAL,Solomon Alabi,22.1,C,ng,Florida State University,2011,2012,26,7,1.5,2.3,0.2,0.2,0.4,0.314,0.314,,0.7,0,0.01
262,2010,NBA,2,53,ATL,Pape Sy,22.085,F,fr,,2011,2011,3,7,2.3,1,0.7,0.3,0,0.333,0.4,0,1,0,-0.047
263,2010,NBA,2,56,MIN,Hamady N'Diaye,23.169,C,sn,Rutgers University,2011,2014,33,4.8,0.6,0.8,0.1,0.1,0.3,0.467,0.467,,0.462,0,0.013
264,2011,NBA,2,37,LAC,Trey Thompkins,21.039,F,us,University of Georgia,2012,2012,24,5,2.4,1,0.1,0.1,0.1,0.393,0.417,0.308,0.714,0,0.004
265,2011,NBA,2,46,LAL,Andrew Goudelock,22.203,G,us,College of Charleston,2012,2016,49,9.7,4,0.7,0.5,0.2,0,0.393,0.429,0.345,0.875,0,0.003
266,2011,NBA,2,48,ATL,Keith Benson,22.319,C,us,Oakland University,2012,2012,3,3,0,1,0,0,0,0,0,,,0,-0.005
267,2012,NBA,1,16,HOU,Royce White,21.085,F,us,Iowa State University,2014,2014,3,3,0,0,0,0,0,0,0,,,0,-0.121
268,2012,NBA,1,22,BOS,Fab Melo,22.014,C,br,Syracuse University,2013,2013,6,6,1.2,0.5,0,0.3,0.3,0.5,0.5,,0.25,0,0.021
269,2013,NBA,2,33,CLE,Carrick Felix,22.32,G,us,Arizona State University,2014,2014,7,5.4,2.7,0.9,0.6,0,0,0.5,0.556,0.4,0.75,0,0.057
270,2013,NBA,2,41,MEM,Jamaal Franklin,21.347,G,us,San Diego State University,2014,2015,24,7.3,1.8,1,0.4,0.2,0.1,0.415,0.393,0.462,1,0,-0.006
271,2013,NBA,2,42,PHI,Pierre Jackson,21.308,G,us,Baylor University,2017,2017,8,10.5,4.4,1.1,2.4,0.3,0,0.333,0.357,0.273,0.857,0,0.021
272,2014,NBA,2,51,NYK,Thanasis Antetokounmpo,21.349,F,gr,,2016,2016,2,3,3,0.5,0,0,0,0.75,1,0,,0,0.291
273,2015,NBA,2,56,NOP,Branden Dawson,22.149,F,us,Michigan State University,2016,2016,6,4.8,0.8,0.7,0,0,0.2,0.4,0.4,,1,0,0.069
274,2010,NBA,2,31,NJN,Tibor Pleiss,20.239,C,de,,2016,2016,12,6.8,2,1.3,0.2,0.1,0.2,0.44,0.478,0,1,-0.1,-0.041
275,2010,NBA,2,34,POR,Armon Johnson,21.126,G,us,"University of Nevada, Reno",2011,2012,47,8.5,3.3,1,1.2,0.2,0,0.458,0.465,0.4,0.679,-0.1,-0.015
276,2011,NBA,2,35,SAC,Tyler Honeycutt,20.348,F,us,"University of California, Los Angeles",2012,2013,24,5,1.2,1,0.4,0.2,0.2,0.314,0.333,0.2,0.714,-0.1,-0.049
277,2012,NBA,2,38,DEN,Quincy Miller,19.227,F,us,Baylor University,2013,2015,69,13.5,4.3,2.4,0.5,0.4,0.5,0.35,0.383,0.292,0.706,-0.1,-0.003
278,2012,NBA,2,51,BOS,Kris Joseph,23.199,F,ca,Syracuse University,2013,2013,10,5.4,0.9,0.7,0.1,0.3,0,0.143,0.182,0,0.625,-0.1,-0.127
279,2013,NBA,2,40,POR,Grant Jerrett,19.359,F,us,University of Arizona,2015,2015,8,6.4,2,1.1,0.4,0.3,0.3,0.269,0.545,0.067,1,-0.1,-0.128
280,2013,NBA,2,49,CHI,Erik Murphy,22.25,F,fr,University of Florida,2014,2014,24,2.6,0.3,0.3,0.1,0,0.2,0.231,0.3,0,,-0.1,-0.055
281,2013,NBA,2,52,MIN,Lorenzo Brown,22.311,G,us,North Carolina State University,2014,2018,77,12.6,3.1,1.6,2,0.6,0.1,0.375,0.466,0.154,0.684,-0.1,-0.003
282,2014,NBA,2,31,MIL,Damien Inglis,19.042,F,gf,,2016,2016,20,7.8,1.8,1.6,0.5,0.3,0.2,0.351,0.417,0.231,0.875,-0.1,-0.024
283,2014,NBA,2,42,HOU,Nick Johnson,21.191,G,us,University of Arizona,2015,2015,28,9.4,2.6,1.4,0.4,0.3,0.1,0.347,0.389,0.238,0.68,-0.1,-0.02
284,2014,NBA,2,49,CHI,Cameron Bairstow,23.207,F-C,au,University of New Mexico,2015,2016,36,4.6,1.2,1,0.2,0.1,0.1,0.296,0.306,0.2,0.846,-0.1,-0.021
285,2010,NBA,1,21,OKC,Craig Brackins,22.264,F,us,Iowa State University,2011,2012,17,7.1,1.8,1.1,0.5,0.1,0.1,0.265,0.286,0.214,0.5,-0.2,-0.089
286,2010,NBA,2,37,MIL,Darington Hobson,22.274,G,us,University of New Mexico,2012,2012,5,7.8,0.8,0.6,1.2,0,0,0.154,0.286,0,,-0.2,-0.225
287,2010,NBA,2,38,NYK,Andy Rautins,23.24,G,us,Syracuse University,2011,2011,5,4.8,1.6,0.2,0.6,0.2,0,0.429,0.667,0.25,0.5,-0.2,-0.314
288,2012,NBA,2,54,PHI,Tornike Shengelia,20.272,F,ge,,2013,2014,45,5.5,1.3,0.9,0.4,0.1,0,0.451,0.512,0.125,0.5,-0.2,-0.032
289,2013,NBA,2,35,PHI,Glen Rice,22.183,G,us,Georgia Institute of Technology,2014,2015,16,9.5,2.7,1.5,0.6,0.4,0.1,0.269,0.286,0.25,0.692,-0.2,-0.065
290,2013,NBA,2,56,DET,Peyton Siva,22.252,G,us,University of Louisville,2014,2014,24,9.3,2.3,0.6,1.4,0.4,0,0.316,0.344,0.28,0.733,-0.2,-0.032
291,2014,NBA,2,47,PHI,Russ Smith,23.074,G,us,University of Louisville,2015,2016,27,4.9,2,0.6,0.7,0.3,0,0.319,0.387,0.188,0.769,-0.2,-0.068
292,2015,NBA,2,34,LAL,Anthony Brown,22.263,F-G,us,Stanford University,2016,2018,41,18.6,3.9,2.5,0.7,0.5,0.1,0.328,0.38,0.286,0.85,-0.2,-0.016
293,2011,NBA,2,32,CLE,Justin Harper,21.302,F,us,University of Richmond,2012,2017,22,6.8,2,0.8,0.2,0.1,0.1,0.34,0.417,0.276,0.333,-0.3,-0.093
294,2011,NBA,2,41,LAL,Darius Morris,20.176,G,us,University of Michigan,2012,2015,132,11.1,3.3,1,1.4,0.3,0,0.384,0.416,0.322,0.63,-0.3,-0.01
295,2012,NBA,2,47,UTA,Kevin Murphy,22.12,G,us,Tennessee Technological University,2013,2013,17,3.1,0.9,0.2,0.1,0.1,0,0.25,0.261,0.2,,-0.3,-0.272
296,2012,NBA,2,55,DAL,Darius Johnson-Odom,22.279,G,us,Marquette University,2013,2014,7,3,0,0.9,0.3,0.1,0,0,0,0,0,-0.3,-0.597
297,2014,NBA,2,56,DEN,Roy Devyn Marble,21.283,G-F,us,University of Iowa,2015,2016,44,10.4,2.2,1.6,0.7,0.5,0.1,0.304,0.377,0.222,0.375,-0.3,-0.028
298,2013,NBA,1,30,PHO,Nemanja Nedovic,22.017,G,rs,,2014,2014,24,5.9,1.1,0.6,0.5,0,0,0.205,0.238,0.167,0.875,-0.4,-0.132
299,2014,NBA,1,20,TOR,Bruno Caboclo,18.283,F,br,,2015,2018,35,6.1,1.5,1,0.3,0.2,0.2,0.282,0.316,0.242,0.833,-0.4,-0.08
300,2013,NBA,2,43,MIL,Ricky Ledo,20.295,G,us,Providence College,2014,2015,28,9.9,3.9,1.4,0.8,0.3,0,0.336,0.321,0.371,0.769,-0.6,-0.096
301,2014,NBA,1,15,ATL,Adreian Payne,23.133,F-C,us,Michigan State University,2015,2018,107,13.1,4,2.9,0.6,0.4,0.3,0.406,0.43,0.254,0.68,-0.6,-0.019
302,2014,NBA,2,34,NYK,Cleanthony Early,23.076,F,us,Wichita State University,2015,2016,56,14.3,4.3,2.2,0.8,0.5,0.3,0.346,0.4,0.263,0.75,-0.6,-0.039
303,2015,NBA,1,17,MIL,Rashad Vaughn,18.317,G,us,"University of Nevada, Las Vegas",2016,2018,139,12,3,1.1,0.5,0.4,0.2,0.337,0.366,0.313,0.692,-0.6,-0.017
304,2011,NBA,2,49,MEM,Josh Selby,20.093,G,us,University of Kansas,2012,2013,38,7.8,2.2,0.5,0.9,0.2,0,0.33,0.384,0.143,0.72,-0.7,-0.113
305,2011,NBA,1,21,POR,Nolan Smith,22.338,G,us,Duke University,2012,2013,84,9.9,3.3,1,1.2,0.3,0,0.371,0.407,0.26,0.714,-0.8,-0.047
306,2012,NBA,1,29,CHI,Marquis Teague,19.125,G,us,University of Kentucky,2013,2018,91,10,2.4,1,1.5,0.3,0.1,0.343,0.369,0.222,0.661,-0.9,-0.045
307,2012,NBA,2,41,POR,Tyshawn Taylor,22.083,G,us,University of Kansas,2013,2014,61,8,2.9,0.5,0.9,0.4,0,0.354,0.353,0.36,0.684,-0.9,-0.088
308,2012,NBA,1,25,MEM,Tony Wroten,19.081,G,us,University of Washington,2013,2016,145,21.2,11.1,2.5,3,0.9,0.2,0.413,0.477,0.231,0.647,-1.3,-0.021
309,2015,NBA,1,7,DEN,Emmanuel Mudiay,19.116,G,cd,,2016,2018,187,25.2,10.8,3,4.3,0.8,0.3,0.374,0.396,0.317,0.731,-2,-0.02
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
